icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timeStamp
3c4048,FMG     ,Germany,1583040409.0,1583040409,13.5244,52.3823,,True,3.09,337.5,,,,,False,0,20200301T1627
ac96b8,AAL649  ,United States,1583040152.0,1583040409,-100.1541,32.5169,7924.8,False,193.11,265.11,0.0,,8092.44,2332,False,0,20200301T1627
7c6b2f,JST753  ,Australia,1583040409.0,1583040410,150.3128,-36.1574,10370.82,False,232.31,198.19,-0.33,,10866.12,1063,False,0,20200301T1627
aa9321,UAL5    ,United States,1583040246.0,1583040324,-68.4989,42.9499,11277.6,False,273.1,60.05,0.0,,10866.12,7317,False,0,20200301T1627
88044e,AIQ3073 ,Thailand,1583040409.0,1583040409,100.2822,13.4353,11582.4,False,237.27,358.26,0.0,,12352.02,4476,False,0,20200301T1627
880456,AIQ175  ,Thailand,1583040409.0,1583040409,79.3255,6.7382,9753.6,False,233.38,248.13,0.0,,10462.26,6137,False,0,20200301T1627
4b1804,SWR152A ,Switzerland,1583040404.0,1583040409,8.5599,47.4515,,True,0.0,185.62,,,,2000,False,0,20200301T1627
4b1806,SWR965  ,Switzerland,1583040385.0,1583040405,8.5628,47.4425,495.3,True,0.0,64.69,,,,2000,False,0,20200301T1627
aa56d5,UAL460  ,United States,1583040408.0,1583040408,-122.881,49.1679,845.82,False,86.73,287.25,-0.33,,876.3,3744,False,0,20200301T1627
c822bb,SDA806  ,New Zealand,1583040409.0,1583040409,175.0718,-40.5818,5181.6,False,125.92,17.84,0.0,,5501.64,5032,False,0,20200301T1627
318d2f,,Italy,1583040401.0,1583040406,-118.432,33.9416,,True,0.0,0.0,-0.33,,,,False,0,20200301T1627
7c48fc,OPA     ,Australia,1583040409.0,1583040409,150.8341,-33.9698,563.88,False,50.86,51.16,-1.63,,556.26,7257,False,0,20200301T1627
7c6b31,JST796  ,Australia,1583040409.0,1583040409,152.2473,-29.6808,10675.62,False,241.68,41.29,0.0,,11239.5,1313,False,0,20200301T1627
318d30,,Italy,1583040406.0,1583040406,-118.4055,33.9387,,True,0.0,0.0,-0.33,,,,False,0,20200301T1627
7c6b39,JST224  ,Australia,1583040410.0,1583040410,151.3259,-34.1736,1112.52,False,129.02,263.13,-1.95,,1150.62,0204,False,0,20200301T1627
880441,AIQ510  ,Thailand,1583040294.0,1583040386,101.0835,11.8445,10668.0,False,235.11,180.38,0.0,,11376.66,0702,False,0,20200301T1627
7c6b35,JST946  ,Australia,1583040408.0,1583040409,150.472,-32.5678,8328.66,False,239.06,346.05,7.15,,8778.24,1335,False,0,20200301T1627
880446,AIQ460  ,Thailand,1583040410.0,1583040410,100.8555,5.3764,8694.42,False,234.55,163.43,8.78,,9296.4,6160,False,0,20200301T1627
a5f875,N484LF  ,United States,1583040395.0,1583040395,-76.2846,40.7009,541.02,False,51.49,92.29,-3.9,,541.02,,False,0,20200301T1627
7c6b0e,JST607  ,Australia,1583040409.0,1583040409,146.8498,-36.8095,10980.42,False,222.15,236.24,0.0,,11475.72,4040,False,0,20200301T1627
7c6b0b,JST415  ,Australia,1583040409.0,1583040409,151.0896,-33.4705,3162.3,False,210.94,171.02,-9.1,,3322.32,1203,False,0,20200301T1627
c01aa7,ACA470  ,Canada,1583040208.0,1583040339,-79.6173,43.6814,,True,0.0,171.56,,,,,False,0,20200301T1627
7c6b28,JST262  ,Australia,1583040326.0,1583040396,174.7266,-37.0285,-76.2,True,66.38,71.0,-2.93,,,5004,False,0,20200301T1627
4952c1,TAP1943 ,Portugal,1583040409.0,1583040409,-8.8921,40.3502,7620.0,False,194.62,191.28,0.0,,7719.06,4401,False,0,20200301T1627
4952c2,TAP837  ,Portugal,1583040409.0,1583040409,12.191,41.7645,922.02,False,104.17,200.22,12.03,,944.88,1271,False,0,20200301T1627
4952c3,TAP551H ,Portugal,1583040409.0,1583040409,10.8363,48.155,8382.0,False,173.89,249.21,8.78,,8214.36,6651,False,0,20200301T1627
8a02cb,AWQ264  ,Indonesia,1583040408.0,1583040408,104.0588,0.2289,5753.1,False,175.55,349.02,-10.08,,6217.92,7135,False,0,20200301T1627
7c6b18,JST291  ,Australia,1583040409.0,1583040409,174.0959,-42.2097,7315.2,False,220.18,214.43,1.3,,7711.44,5036,False,0,20200301T1627
7c6b13,JST270  ,Australia,1583040409.0,1583040409,174.7035,-37.0349,266.7,False,71.26,71.04,-4.55,,381.0,5671,False,0,20200301T1627
4952ad,TAP286  ,Portugal,1583040193.0,1583040195,-9.1269,38.7983,129.54,False,67.08,203.03,-4.23,,220.98,4232,False,0,20200301T1627
